Company,Domain,Seats,Skills,More Tech
A.T. Kearney Consulting (India) Private  Limited,Finance and Mgmt,0,-,-,0,-,-
Acceldata Technology Pvt. Ltd. ,IT,0,-,-,0,-,-
Acuvon Consulting Pvt. Ltd.,Finance and Mgmt,0,-,-
Aditya Birla Group -Data and Analytics,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Aditya Birla Insulators,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Aditya Birla Science \u0026 Technology Company Ltd.,Chemical,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Advantage Club,Finance and Mgmt,0,-,-
AECOM,Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
AFour Technologies Pvt. Ltd.,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Airbnb Capability Center,Finance and Mgmt,0,-,-,0,-,-
AlmaConnect,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
AMD India Pvt Ltd,Electronics  ,0,-,-,0,-,-,0,-,-
American Express - AI Lab,IT,0,-,-,0,-,-,0,-,-
American Express - AI Labs,IT,0,-,-,0,-,-,0,-,-,0,-,-
American Express - Credit \u0026 Fraud Risk (Capabilities),IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Apollo Tyres Ltd. Advanced Engineering centre,Electronics  ,0,-,-,0,-,-
Apple India Pvt Limited,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Aramex International,IT,0,-,-,0,-,-,0,-,-
ARM Embedded Technologies Private Limited,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Arup India Pvt. Ltd.,Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Asanify Technologies Pvt. Ltd.,IT,0,-,-
Asanify Technologies Pvt. Ltd._Full Stack Software Engineering ,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Ascendo. AI,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Ashland India Pvt. Ltd.,Health Care,0,-,-
Assetmonk ,IT,0,-,-,0,-,-,0,-,-
Atkins,Infrastructure,0,-,-,0,-,-,0,-,-
Aurigo Software Technologies,IT,0,-,-,0,-,-,0,-,-,0,-,-
Autolytics Technology Private Limited,IT,0,-,-
Avaamo,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Axtria India Pvt Ltd,Finance and Mgmt,0,-,-,0,-,-
Azalp Technologies Pvt. Ltd. - Business Development,IT,0,-,-
Azalp Technologies Pvt. Ltd. - IT,IT,0,-,-
Azalp Technologies Pvt. Ltd. - Management,IT,0,-,-
B.G.Shirke Construction Technology Pvt. Ltd.,Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Bajaj Auto,Mechanical,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Barclays - Finance P\u0026ST,Finance and Mgmt,0,-,-,0,-,-,0,-,-
Barclays - Finance P\u0026ST,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-
Barclays - Finance P\u0026ST,Finance and Mgmt,0,-,-
Barclays - Internal Reporting,Finance and Mgmt,0,-,-
BharatX - BackEnd Engineering,Finance and Mgmt,0,-,-
BharatX - Product Management,Finance and Mgmt,0,-,-
BharatX - Reverse Engineering,Finance and Mgmt,0,-,-
Bharosepe Technology Services Privated Limited (Known as Jodo),Finance and Mgmt,0,-,-
Bigbasket - Tech Projects,Finance and Mgmt,0,-,-
Binocs Labs Pvt Ltd. - Non tech,IT,0,-,-
Binocs Labs Pvt Ltd. - Tech,IT,0,-,-
Biocon,Health Care,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Birla Furukawa Fibre Optics Private Limited,Electronics  ,0,-,-
Bisquare Systems Pvt. Ltd.,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
BlackRock Services ,IT,0,-,-,0,-,-,0,-,-,0,-,-
BlokTrek,IT,0,-,-
Bloomreach Technologies Pvt. Ltd,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Blue Jeans Network India Pvt. Ltd.,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Blue Yonder (JDA),IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Blue Yonder (JDA),IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
BNY Mellon - Data Science,Finance and Mgmt,0,-,-
BNY Mellon - Software Developer,Finance and Mgmt,0,-,-
Brane Enterprises Pvt Ltd ,IT,0,-,-,0,-,-,0,-,-
BSCPL Infrastructure Ltd.,Infrastructure,0,-,-,0,-,-,0,-,-
CEG Limited,Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Central Electronics Engineering Research Institute,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Central Electronics Engineering Research Institute,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Central Leather Research Institute (CLRI),Chemical,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Central Road Research Institute,Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Centre for DNA Fingerprinting and Diagnostics,Health Care,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Chemfab Alkalis Limited,IT,0,-,-
"Christie Digital Systems, Inc.",IT,0,-,-,0,-,-
CISCO - Business Analyst,Finance and Mgmt,0,-,-,0,-,-
Cisco Systems (India) Pvt. Ltd - Software Engineering,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Citi Bank,Finance and Mgmt,0,-,-
Clarivate Analytics ,Health Care,0,-,-,0,-,-
Clarivate Analytics,Health Care,0,-,-
Cogoport,Finance and Mgmt,0,-,-
Cohesity Storage Solutions India Pvt. Ltd.,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
"CohnReznick Capital, LLC",Finance and Mgmt,0,-,-,0,-,-
CommerceIQ - Product Analysis ,Finance and Mgmt,0,-,-
Confluent India Pvt Ltd.,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Contlo - Business Analysis,Finance and Mgmt,0,-,-
Contlo - Product Management,Finance and Mgmt,0,-,-
Contlo - SDE (Tech),Finance and Mgmt,0,-,-
CRIF,Finance and Mgmt,0,-,-
CRUBN,IT,0,-,-,0,-,-
DAR Al-Handasah,Infrastructure,0,-,-,0,-,-
DataZymes Analytics ,Health Care,0,-,-,0,-,-,0,-,-,0,-,-
DBOI - Finance Change,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-
DBOI - MRAC and MDSA,Finance and Mgmt,0,-,-,0,-,-,0,-,-
DBOI - MVRM-Valuation Control team,Finance and Mgmt,0,-,-
DBOI - Non-Financial Risk Management,Finance and Mgmt,0,-,-,0,-,-
Delightful Gourmet Pvt Ltd (Licious),IT,0,-,-,0,-,-,0,-,-,0,-,-
Dell R\u0026D,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Development Consultants  Pvt. Ltd. (DCPL),Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
DevRev Cloud India Pvt. Ltd.,IT,0,-,-,0,-,-
DigiCert Security India Pvt Ltd,IT,0,-,-,0,-,-,0,-,-,0,-,-
Disney+ Hotstar,IT,0,-,-,0,-,-,0,-,-
Divgi TorqTransfer Systems Pvt. Ltd. - Bhosari (New) ,Mechanical,0,-,-,0,-,-
Dorje Teas,Others,0,-,-
"Dorsch Consult (India) Pvt. Ltd.,",Infrastructure,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Dover India Pvt Ltd,IT,0,-,-,0,-,-
Druva Data Solutions Pvt. Ltd,IT,0,-,-
DSLR Technologies Pvt. Ltd. - Nontech,IT,0,-,-
DSLR Technologies Pvt. Ltd. - Tech,IT,0,-,-
eBay,IT,0,-,-
EConsystems (VIS AI Labs),IT,0,-,-,0,-,-
EdgeQ,IT,0,-,-
Elements financial solutions Pvt. Ltd. (EFS),Finance and Mgmt,0,-,-
Eltropy - Customer Success Analyst,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-
Eltropy - Engineering,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Eltropy - Product Development,IT,0,-,-
Ernst \u0026 Young L.L.P.,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-
ESH Value Technologies,IT,0,-,-
Espressif Systems,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Euler Motors,Finance and Mgmt,0,-,-,0,-,-
Everest Industries,Infrastructure,0,-,-
Exeevo,IT,0,-,-
Fanplay IoT,Electronics  ,0,-,-,0,-,-
Faurecia,Mechanical,0,-,-,0,-,-
Feedback Advisory Services Private Limited,Finance and Mgmt,0,-,-
Feedback Advisory Services Private Limited,Finance and Mgmt,0,-,-
Feedback Advisory Services Private Limited,Finance and Mgmt,0,-,-
Fintech Blue Solutions Pvt Ltd (Turtlemint),IT,0,-,-,0,-,-
FischerJordan LLC,Finance and Mgmt,0,-,-
FlexiLoans Technologies Pvt. Ltd.,IT,0,-,-,0,-,-
Flipkart (Software Development),IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Flipkart Internet Pvt Ltd - Business Analyst,Finance and Mgmt,0,-,-,0,-,-,0,-,-
Flipkart Internet Pvt Ltd - Business Development,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
GE Healthcare,IT,0,-,-,0,-,-,0,-,-
GE India Technology Centre,Mechanical,0,-,-,0,-,-,0,-,-
Genpact,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
GeoIQ (Quantduo Technologies Pvt. Ltd.,IT,0,-,-
Glance (An InMobi Group Company)  - Product,IT,0,-,-
Glance (An InMobi Group Company)  - Tech,IT,0,-,-
GoKwik,Finance and Mgmt,0,-,-
Goldman Sachs - Investment Banking,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Google India - Hardware,IT,0,-,-
Granules India Ltd.,Health Care,0,-,-,0,-,-,0,-,-,0,-,-
Grasim Industries Ltd.,Chemical,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Greenland Investment Management,Finance and Mgmt,0,-,-
Grid Dynamics,IT,0,-,-
Gujarat Alkalies and Chemicals Ltd.,Chemical,0,-,-
Halliburton Technologies,Chemical,0,-,-,0,-,-,0,-,-
Hamilton Research \u0026 Technology Pvt. Ltd,Electronics  ,0,-,-
Havells,Electronics  ,0,-,-
HCL Technologies,IT,0,-,-,0,-,-
HCL Technologies,IT,0,-,-,0,-,-
HCL Technologies,IT,0,-,-,0,-,-
HDFC Credila Financial Services Limited,Finance and Mgmt,0,-,-
Hevo Technologies India Pvt. Ltd.,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
HSBC Electronic Data Processing India Pvt. Ltd.,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
HSBC Global Analytics Centers,Finance and Mgmt,0,-,-,0,-,-
Hugosave (Atlas Consolidated Labs Pte. Ltd.),Finance and Mgmt,0,-,-,0,-,-
IBM India Software Group,IT,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
IFB Industries,Mechanical,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Imaginate Software Labs Pvt. Ltd.,IT,0,-,-,0,-,-
Indian Institute of Petroleum,Chemical,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Indian Institute Of Remote Sensing,IT,0,-,-,0,-,-,0,-,-,0,-,-
Indira Gandhi Centre for Atomic Research,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Indus Insights and Analytical Services Pvt Ltd,Finance and Mgmt,0,-,-,0,-,-,0,-,-
Infineon,Electronics  ,0,-,-,0,-,-
Infinera,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Informatica Business Solutions PVT. LTD.,IT,0,-,-,0,-,-,0,-,-
InMobi- Business Analyst,Finance and Mgmt,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Innomagine,Health Care,0,-,-
"Innovapptive Inc, Innovapptive Global Solutions Pvt. Ltd.",IT,0,-,-
Intel India Technology ,Electronics  ,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-
Intercontinental Consultants and Technocrats Pvt. Ltd,Infrastructure,0,-,-,0,-,-,0,-,-
Inzpera Healthsciences Ltd.,Health Care,0,-,-,0,-,-,0,-,-,0,-,-
iRasus Technologies Pvt Ltd,IT,0,-,-
"IUDX Program Unit, Indian Institute of science - Data Kaveri",IT,0,-,-,0,-,-,0,-,-
Jacobs,Infrastructure,0,-,-
Jarvis Technology \u0026 Strategy Consulting Pvt. Ltd. - IT,Finance and Mgmt,0,-,-,0,-,-
Jarvis Technology and Strategy Consulting - Non IT,Finance and Mgmt,0,-,-
JK Fenner,Mechanical,0,-,-
JPMC - CIB R\u0026A Wholesale Payments,Finance and Mgmt,0,-,-,0,-,-
JPMC - Corporate Risk – Credit Risk Controller,Finance and Mgmt,0,-,-,0,-,-,0,-,-
JPMC - GR\u0026C Model Risk Governance and Review – COO,IT,0,-,-,0,-,-
JPMC - GR\u0026C Model Risk Governance and Review- COO,Finance and Mgmt,0,-,-,0,-,-,0,-,-
